round_epochs,loss,PR_AUC,ROC_AUC,val_loss,val_PR_AUC,val_ROC_AUC,activation1,activation2,batch_size,dropout1,dropout2,epochs,losses,neurons1,neurons2,optimizer
17,0.1931785755415539,0.60144067,0.9682044,0.07335072342959194,0.64986336,0.9551025,<function sigmoid at 0x7fdf812db560>,<function relu at 0x7fdf812db440>,32,0.1,0.30000000000000004,64,<function binary_crossentropy at 0x7fdf83cefdd0>,128,16,Adam
5,0.5130357306031817,0.59910667,0.93114626,0.44809988371336124,0.6551267,0.9515329,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,512,0.30000000000000004,0.2,28,<function binary_crossentropy at 0x7fdf83cefdd0>,8,16,SGD
2,0.2940386685460488,0.5431576,0.9415189,0.15461967826181183,0.67039,0.9546367,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,16,0.30000000000000004,0.30000000000000004,10,<function binary_crossentropy at 0x7fdf83cefdd0>,128,64,SGD
20,0.35682504067364085,0.71385324,0.9559793,0.37477091138004015,0.66903424,0.9498841,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,512,0.30000000000000004,0.30000000000000004,64,<function binary_crossentropy at 0x7fdf83cefdd0>,8,16,SGD
25,0.31375414687608805,0.54825985,0.9333371,0.10902809953724943,0.6414485,0.9468234,<function sigmoid at 0x7fdf812db560>,<function relu at 0x7fdf812db440>,512,0.5,0.2,46,<function binary_crossentropy at 0x7fdf83cefdd0>,32,32,RMSprop
18,0.19804385749264447,0.59078825,0.96149796,0.1431600591583204,0.64568126,0.9552684,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,2048,0.5,0.2,64,<function binary_crossentropy at 0x7fdf83cefdd0>,32,64,Adam
3,0.33406284045418244,0.529622,0.9340544,0.23646993164178054,0.6751654,0.95103407,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,64,0.2,0.4,10,<function binary_crossentropy at 0x7fdf83cefdd0>,64,8,Adam
20,0.16640466075313293,0.628148,0.9766486,0.04595260030237483,0.60902345,0.9598612,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,16,0.1,0.1,82,<function binary_crossentropy at 0x7fdf83cefdd0>,128,16,SGD
82,0.3525371584245341,0.71055937,0.9541026,0.2983865771249636,0.6692378,0.9505403,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,4096,0.5,0.1,82,<function binary_crossentropy at 0x7fdf83cefdd0>,16,64,SGD
7,0.2798409387485735,0.6329229,0.93909633,0.36845936206862584,0.6750252,0.95679224,<function sigmoid at 0x7fdf812db560>,<function relu at 0x7fdf812db440>,512,0.2,0.2,28,<function binary_crossentropy at 0x7fdf83cefdd0>,32,128,Adam
59,0.3089831349255508,0.7460642,0.9687089,0.26376843485694035,0.6732763,0.95284915,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,1024,0.1,0.2,64,<function binary_crossentropy at 0x7fdf83cefdd0>,128,16,SGD
4,0.5942959909834593,0.70981276,0.94783175,0.5478616628200333,0.67076814,0.9426703,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,1024,0.30000000000000004,0.30000000000000004,10,<function binary_crossentropy at 0x7fdf83cefdd0>,8,128,SGD
7,0.27274629726438804,0.71283865,0.9650369,0.2835292187555396,0.6550114,0.94984865,<function sigmoid at 0x7fdf812db560>,<function relu at 0x7fdf812db440>,64,0.5,0.1,28,<function binary_crossentropy at 0x7fdf83cefdd0>,64,16,SGD
77,0.05659487724639171,0.6352934,0.8903224,0.0003222739836161287,0.6278712,0.8681215,<function sigmoid at 0x7fdf812db560>,<function relu at 0x7fdf812db440>,64,0.2,0.2,82,<function logcosh at 0x7fdf83cefc20>,32,16,RMSprop
12,0.19980377732950427,0.5954965,0.9687245,0.07743946418358696,0.64019877,0.9588095,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,64,0.30000000000000004,0.1,46,<function binary_crossentropy at 0x7fdf83cefdd0>,16,16,SGD
5,0.11876964034496457,0.0071269264,0.6054927,0.08141557885776411,0.17970684,0.9021659,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,2048,0.5,0.5,46,<function logcosh at 0x7fdf83cefc20>,16,8,SGD
6,0.05164268238381799,0.65270025,0.9397831,0.05087044460137463,0.67677784,0.95645297,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,32,0.1,0.1,28,<function logcosh at 0x7fdf83cefc20>,64,128,SGD
6,2.8524599267440602,0.23989367,0.8187167,0.00951122354136017,0.6142521,0.8512377,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,16,0.1,0.4,46,<function binary_crossentropy at 0x7fdf83cefdd0>,8,16,RMSprop
6,0.030432047855210777,0.622401,0.9623376,0.018753421789930367,0.64509344,0.9564829,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,16,0.4,0.1,10,<function logcosh at 0x7fdf83cefc20>,128,64,SGD
10,0.03708775892448777,0.65918064,0.95986724,0.04915030148763777,0.67429227,0.95814943,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,16,0.4,0.1,46,<function logcosh at 0x7fdf83cefc20>,16,128,SGD
4,0.048685175874712515,0.63107264,0.9460006,0.023958333127612447,0.625517,0.9508114,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,128,0.1,0.5,28,<function logcosh at 0x7fdf83cefc20>,16,8,Adam
11,0.28993903367561674,0.68172157,0.95674527,0.17925039499608486,0.63560534,0.94950926,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,16,0.5,0.30000000000000004,46,<function binary_crossentropy at 0x7fdf83cefdd0>,16,128,Adam
2,0.07250028012283363,0.6387794,0.9411541,0.08466330679623181,0.6625121,0.94369006,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,32,0.5,0.4,10,<function logcosh at 0x7fdf83cefc20>,32,128,SGD
13,1.5521938133742395,0.1604054,0.8791087,0.007398991001689892,0.6184155,0.8845186,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,32,0.1,0.4,46,<function binary_crossentropy at 0x7fdf83cefdd0>,32,16,RMSprop
22,0.4892757205373941,0.55075574,0.9209256,0.44298694315112425,0.6693455,0.9398866,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,2048,0.1,0.5,46,<function binary_crossentropy at 0x7fdf83cefdd0>,128,64,SGD
38,0.023460449291432886,0.5736325,0.9715855,0.01009793131617506,0.6471579,0.95460093,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,4096,0.5,0.5,64,<function logcosh at 0x7fdf83cefc20>,64,32,Adam
10,0.2942774350572935,0.63795555,0.94136775,0.23261605653065864,0.6613008,0.94872755,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,4096,0.30000000000000004,0.2,10,<function binary_crossentropy at 0x7fdf83cefdd0>,32,64,RMSprop
42,1.1767937823036387,0.36738643,0.8842752,0.0062302455922493664,0.5698972,0.87408745,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,16,0.5,0.1,64,<function binary_crossentropy at 0x7fdf83cefdd0>,16,32,RMSprop
13,0.03988372781152043,0.72254217,0.97008514,0.02524751439301593,0.65050375,0.950187,<function sigmoid at 0x7fdf812db560>,<function relu at 0x7fdf812db440>,32,0.5,0.30000000000000004,46,<function logcosh at 0x7fdf83cefc20>,64,8,SGD
18,0.05112539988079813,0.65121335,0.9007813,0.00037972225982213124,0.62125385,0.88155216,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,32,0.2,0.4,82,<function logcosh at 0x7fdf83cefc20>,64,16,RMSprop
47,0.040339903259325745,0.6444992,0.9525352,0.014927888656977452,0.6690111,0.9507025,<function sigmoid at 0x7fdf812db560>,<function relu at 0x7fdf812db440>,2048,0.2,0.5,64,<function logcosh at 0x7fdf83cefc20>,8,8,Adam
19,0.06524676390339951,0.62216544,0.8674847,0.0003153386787309945,0.6306759,0.87150025,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,32,0.1,0.5,64,<function logcosh at 0x7fdf83cefc20>,32,32,RMSprop
72,0.16840995849912913,0.6936914,0.9758909,0.09371896684166281,0.6557628,0.95837706,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,2048,0.2,0.4,82,<function binary_crossentropy at 0x7fdf83cefdd0>,64,128,SGD
36,0.09038570511329255,0.40114078,0.8649913,0.00043142605999562115,0.59630466,0.85794306,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,16,0.30000000000000004,0.30000000000000004,64,<function logcosh at 0x7fdf83cefc20>,8,128,RMSprop
8,0.2315351595589266,0.4865265,0.95708644,0.08690469495947507,0.6600612,0.9554072,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,64,0.5,0.4,28,<function binary_crossentropy at 0x7fdf83cefdd0>,32,16,Adam
8,0.0477042667120388,0.6082788,0.9236382,0.00046460302436630727,0.63133925,0.9113879,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,64,0.1,0.4,46,<function logcosh at 0x7fdf83cefc20>,8,64,RMSprop
4,0.23875550627505132,0.45124525,0.9538219,0.25519577037122015,0.6572478,0.9540166,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,32,0.2,0.30000000000000004,10,<function binary_crossentropy at 0x7fdf83cefdd0>,128,8,Adam
25,0.03813942918946987,0.55569756,0.9471837,0.005594652396804799,0.6434946,0.9474957,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,1024,0.5,0.5,64,<function logcosh at 0x7fdf83cefc20>,128,16,RMSprop
3,0.1244285587752885,0.007906234,0.5376276,0.07615033875021048,0.27370584,0.7193396,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,2048,0.30000000000000004,0.5,28,<function logcosh at 0x7fdf83cefc20>,8,8,SGD
7,0.39105890987952224,0.4503805,0.9093657,0.3555446356971304,0.67403215,0.9466578,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,4096,0.2,0.4,10,<function binary_crossentropy at 0x7fdf83cefdd0>,8,128,Adam
18,0.1793446575343084,0.6898199,0.97250247,0.22217930816917492,0.6382153,0.95456666,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,4096,0.1,0.1,64,<function binary_crossentropy at 0x7fdf83cefdd0>,128,8,Adam
10,0.2978841396977839,0.7078749,0.96054786,0.27986733232749883,0.65827453,0.9540717,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,128,0.30000000000000004,0.1,64,<function binary_crossentropy at 0x7fdf83cefdd0>,128,32,SGD
5,0.22137290299726847,0.6687958,0.9602556,0.36886306773962874,0.6414244,0.9513453,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,2048,0.4,0.1,10,<function binary_crossentropy at 0x7fdf83cefdd0>,128,32,Adam
31,0.2302517250723779,0.6373654,0.96117866,0.15166774882991002,0.65373605,0.9496988,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,1024,0.4,0.1,46,<function binary_crossentropy at 0x7fdf83cefdd0>,8,8,RMSprop
26,0.1658138749214247,0.670005,0.97788143,0.09274876142636615,0.6239502,0.9592954,<function sigmoid at 0x7fdf812db560>,<function relu at 0x7fdf812db440>,16,0.4,0.2,82,<function binary_crossentropy at 0x7fdf83cefdd0>,128,8,SGD
35,0.029409305878937,0.6189124,0.9599387,0.009398817958838523,0.6427886,0.94914556,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,1024,0.2,0.4,64,<function logcosh at 0x7fdf83cefc20>,64,16,RMSprop
7,0.04023211578911421,0.7006642,0.9602716,0.02566985289268858,0.6613363,0.9525937,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,16,0.1,0.4,64,<function logcosh at 0x7fdf83cefc20>,64,32,SGD
22,0.028501635281701437,0.6796948,0.9567666,0.009340961162115692,0.66618,0.9516313,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,2048,0.5,0.1,46,<function logcosh at 0x7fdf83cefc20>,32,8,RMSprop
21,0.18005550755305402,0.6618173,0.9718794,0.1368397435596811,0.6532784,0.9531952,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,4096,0.1,0.1,64,<function binary_crossentropy at 0x7fdf83cefdd0>,8,64,RMSprop
5,0.2562848993877663,0.65857047,0.9524755,0.15644810779767207,0.6610546,0.94657767,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,512,0.5,0.1,10,<function binary_crossentropy at 0x7fdf83cefdd0>,128,8,RMSprop
4,0.38447794263815793,0.71557903,0.9478246,0.3623052856971344,0.67616266,0.95061815,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,128,0.1,0.2,10,<function binary_crossentropy at 0x7fdf83cefdd0>,8,8,SGD
13,0.025564603085004328,0.6347263,0.96998835,0.008049954647677392,0.61954796,0.95591253,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,16,0.30000000000000004,0.1,82,<function logcosh at 0x7fdf83cefc20>,32,32,Adam
30,0.025324095412801038,0.58808964,0.960557,0.004341148018206894,0.64680696,0.9542248,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,1024,0.4,0.4,82,<function logcosh at 0x7fdf83cefc20>,64,16,RMSprop
10,0.03976665364925886,0.59605396,0.9449722,0.016306078641119635,0.66166246,0.9468646,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,4096,0.5,0.30000000000000004,28,<function logcosh at 0x7fdf83cefc20>,64,8,Adam
64,0.08126852813631195,0.7000302,0.9412206,0.07315817494241184,0.65569276,0.9389452,<function sigmoid at 0x7fdf812db560>,<function relu at 0x7fdf812db440>,2048,0.2,0.1,64,<function logcosh at 0x7fdf83cefc20>,128,128,SGD
5,0.301181539713467,0.70335853,0.9568528,0.3976714736840383,0.64973295,0.951855,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,64,0.5,0.2,28,<function binary_crossentropy at 0x7fdf83cefdd0>,64,16,SGD
11,0.12467941770420549,0.21874507,0.83005565,0.0013084797796840653,0.5118783,0.92271566,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,16,0.5,0.1,64,<function logcosh at 0x7fdf83cefc20>,64,128,RMSprop
12,0.08356394136938132,0.33531684,0.8836039,0.07518912827098138,0.6650021,0.9254749,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,4096,0.1,0.30000000000000004,28,<function logcosh at 0x7fdf83cefc20>,8,64,RMSprop
34,0.1618974434736512,0.64947957,0.97838694,0.09996361203280055,0.59871536,0.9603808,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,16,0.5,0.2,64,<function binary_crossentropy at 0x7fdf83cefdd0>,64,8,SGD
16,0.19079696180865144,0.72628003,0.9756178,0.14954128889453203,0.647235,0.95652926,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,32,0.2,0.30000000000000004,82,<function binary_crossentropy at 0x7fdf83cefdd0>,64,8,SGD
